loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
6558,8037038,K05466.01,Kepler-1631 b,CONFIRMED,4.095138760,0.9700,2.46200,1.8170e+02,0.016601,1.75,1122.0,374.30,4.000000,5858.00,4.495,0.1000,0.9630,1.0560
6588,8105398,K05475.01,Kepler-1632 b,CONFIRMED,224.150923000,0.0190,12.45500,3.4860e+02,0.017191,2.41,369.0,4.40,139.830000,6072.00,4.133,-0.7600,1.2860,0.8180
6682,9141355,K05622.01,Kepler-1635 b,CONFIRMED,469.613090000,0.9060,13.70900,1.2347e+03,0.038837,3.24,200.0,0.37,133.100000,5474.00,4.598,-0.2800,0.7630,0.8470
6875,11176166,K05875.01,Kepler-1639 b,CONFIRMED,9.878850200,0.7320,2.95100,4.5470e+02,0.021044,2.64,1003.0,238.98,18.230000,6477.00,4.361,-0.2600,1.1480,1.1020
6932,8030339,K03954.02,Kepler-1534 b,CONFIRMED,5.716687870,0.6160,1.97000,4.3170e+02,0.019874,1.92,955.0,196.51,18.030000,5638.00,4.488,-0.1800,0.8830,0.8750
6933,8037145,K00520.04,Kepler-176 e,CONFIRMED,51.165801900,0.8170,4.63700,2.5920e+02,0.016698,1.51,398.0,5.96,51.100000,4963.00,4.501,0.1600,0.8260,0.7890
6959,7100673,K04032.03,Kepler-1542 d,CONFIRMED,5.992732650,0.5050,2.65020,6.9800e+01,0.007793,0.91,1010.0,245.32,15.080000,5574.00,4.354,0.1200,1.0650,0.9330
6960,7100673,K04032.04,Kepler-1542 e,CONFIRMED,5.101106660,0.0830,2.65700,6.5100e+01,0.007283,0.85,1065.0,304.80,14.740000,5574.00,4.354,0.1200,1.0650,0.9330
7041,8780959,K03741.03,Kepler-1518 b,CONFIRMED,5.111754700,0.9620,3.28100,2.6780e+02,0.019140,2.81,1351.0,788.00,4.130000,6432.00,4.207,-0.3400,1.3450,1.0600
7085,5629353,K06132.02,Kepler-1640 b,CONFIRMED,7.584424100,0.8150,3.91800,1.0050e+03,0.032357,5.83,1228.0,537.40,9.420000,6264.00,4.133,0.2600,1.6510,1.3520
7110,10717220,K06228.01,Kepler-1644 b,CONFIRMED,21.090790900,0.8320,4.75100,4.1760e+02,0.021087,1.88,606.0,31.86,20.080000,5723.00,4.546,-0.3600,0.8180,0.8570
7120,4247991,K02311.03,Kepler-1185 b,CONFIRMED,104.351962400,0.5320,3.69500,2.4380e+02,0.014651,1.39,355.0,3.74,186.400000,5650.00,4.546,0.0200,0.8700,0.9710
7156,6221385,K06145.01,Kepler-1641 b,CONFIRMED,19.672324000,0.7210,4.81200,6.4990e+02,0.025068,4.07,908.0,160.98,22.800000,6486.00,4.136,-0.3400,1.4850,1.0980
7157,6221385,K06145.02,Kepler-1641 c,CONFIRMED,32.657035000,0.0070,5.95300,6.2040e+02,0.023004,3.73,767.0,81.91,42.870000,6486.00,4.136,-0.3400,1.4850,1.0980
7226,7908367,K06166.01,Kepler-1642 b,CONFIRMED,12.206430400,0.1040,2.40700,1.3372e+03,0.032713,5.41,895.0,151.44,39.810000,5254.00,4.050,0.2100,1.5140,0.9370
7227,7908367,K06166.02,Kepler-1642 c,CONFIRMED,6.651318900,0.0640,2.13500,1.0584e+03,0.029092,4.81,1095.0,340.06,24.450000,5254.00,4.050,0.2100,1.5140,0.9370
7229,4142847,K02210.02,Kepler-1143 c,CONFIRMED,210.631486000,0.6420,8.41900,1.6578e+03,0.038919,3.23,234.0,0.71,156.100000,4895.00,4.589,0.1600,0.7590,0.8170
7250,12206313,K02714.03,Kepler-401 d,CONFIRMED,184.262741000,0.8850,11.94000,2.9220e+02,0.018261,2.57,380.0,4.93,59.400000,6115.00,4.249,-0.0400,1.2910,1.0770
7255,10122538,K02926.03,Kepler-1388 d,CONFIRMED,20.956998500,0.1120,3.49300,1.9179e+03,0.038688,2.38,363.0,4.11,47.330000,3891.00,4.718,0.2100,0.5640,0.6050
7276,11125797,K03371.02,Kepler-1482 b,CONFIRMED,12.253843480,0.4410,2.37300,1.4770e+02,0.011217,1.00,678.0,50.05,35.900000,5413.00,4.579,0.0700,0.8200,0.9310
7318,11442793,K00351.07,Kepler-90 f,CONFIRMED,124.922516000,0.9430,11.94200,4.9870e+02,0.025738,3.37,407.0,6.45,32.300000,5970.00,4.317,0.1000,1.2000,1.0890
8100,7350067,K06863.01,Kepler-1646 b,CONFIRMED,4.485592150,0.4420,0.81610,2.2650e+03,0.044970,0.95,365.0,4.20,39.800000,3236.00,5.097,0.0000,0.1930,0.1690
8190,9730163,K02704.03,Kepler-445 d,CONFIRMED,8.152758850,0.4610,1.74600,1.6536e+04,0.118356,2.44,305.0,2.03,36.400000,3327.00,5.113,-0.3800,0.1890,0.1690
8347,10122538,K02926.04,Kepler-1388 e,CONFIRMED,37.633386800,0.3380,4.49000,1.6617e+03,0.036590,2.25,299.0,1.88,62.800000,3891.00,4.718,0.2100,0.5640,0.6050
8414,8891684,K05581.01,Kepler-1634 b,CONFIRMED,374.878133000,0.6260,10.55600,9.1460e+02,0.028862,4.27,282.0,1.49,221.600000,5636.00,4.218,0.4200,1.3540,1.1030
8479,5809890,K01050.02,Kepler-755 c,CONFIRMED,2.853133997,0.6980,1.46500,2.7710e+02,0.016317,1.36,1016.0,251.77,11.020000,5041.00,4.576,0.0200,0.7660,0.8070
8483,7831264,K00171.02,Kepler-116 c,CONFIRMED,13.071418890,0.7510,3.09460,2.5110e+02,0.015742,2.47,964.0,203.87,22.100000,6122.00,4.173,0.0200,1.4390,1.1230
8549,5084171,K04202.01,Kepler-1567 b,CONFIRMED,153.979362000,0.0360,9.02800,7.9250e+02,0.025664,2.53,330.0,2.82,133.600000,5858.00,4.502,-0.2000,0.9030,0.9440
8747,8804845,K02039.02,Kepler-1067 b,CONFIRMED,0.762132307,0.3990,1.22000,6.3700e+01,0.007382,0.75,1872.0,2913.14,4.470000,5594.00,4.489,0.1600,0.9340,0.9810
8767,8653134,K06186.01,Kepler-1643 b,CONFIRMED,5.342641430,0.0210,2.45300,6.9130e+02,0.023564,1.72,799.0,96.47,17.040000,5101.00,4.630,-0.5000,0.6700,0.6990
8819,10989274,K06233.01,Kepler-1645 b,CONFIRMED,16.178030000,0.0810,5.18000,4.4900e+02,0.019283,2.25,754.0,76.54,24.260000,5929.00,4.413,0.1400,1.0690,1.0790
8871,7935997,K05447.02,Kepler-1629 b,CONFIRMED,3.875943160,0.0250,2.31400,5.8600e+01,0.006940,0.68,1081.0,323.21,12.897000,5713.00,4.541,0.0700,0.8930,1.0100
8921,8417078,K04693.01,Kepler-1619 b,CONFIRMED,23.622357100,0.3690,6.85200,5.7000e+01,0.007017,1.07,797.0,95.35,24.680000,6144.00,4.149,-0.3000,1.3930,0.9990
8922,12735830,K03311.01,Kepler-1465 b,CONFIRMED,31.827649000,0.7850,1.63900,5.2000e+02,0.023361,4.98,668.0,47.21,97.300000,4774.00,3.838,0.3800,1.9540,0.9590
8991,8561063,K00961.03,Kepler-42 d,CONFIRMED,1.865114193,0.7850,0.42790,1.1248e+03,0.040715,0.66,455.0,10.10,22.800000,3292.00,5.215,-0.4200,0.1480,0.1320
8994,6604328,K01736.01,Kepler-945 b,CONFIRMED,31.003307200,0.1510,5.25300,6.4520e+02,0.023218,2.72,616.0,34.03,45.630000,6090.00,4.447,0.2100,1.0710,1.1730
9024,6209677,K01750.01,Kepler-948 b,CONFIRMED,7.768456390,0.3530,3.68900,2.1780e+02,0.013457,1.35,841.0,118.09,15.300000,5447.00,4.481,0.1600,0.9170,0.9280
9056,6696580,K02092.01,Kepler-359 c,CONFIRMED,57.689621200,0.9240,5.11800,1.6266e+03,0.044886,5.14,512.0,16.19,42.100000,6228.00,4.441,-0.0800,1.0490,1.1070
9057,3234598,K02413.01,Kepler-383 b,CONFIRMED,12.904675230,0.5530,3.28000,4.1240e+02,0.018884,1.49,545.0,20.91,25.700000,4513.00,4.574,0.1600,0.7220,0.7120
9058,8380709,K02468.01,Kepler-1249 b,CONFIRMED,24.334493900,0.0170,6.55700,3.2310e+02,0.016460,1.74,647.0,41.30,28.820000,6091.00,4.487,-0.1400,0.9670,1.0450
9059,11752632,K02492.01,Kepler-1258 b,CONFIRMED,0.984941669,0.0450,1.97240,8.1400e+01,0.008209,1.49,2335.0,7044.68,3.887000,5825.00,4.046,0.1400,1.6620,1.1210
9060,11179076,K02497.01,Kepler-1261 b,CONFIRMED,48.431300300,0.8460,4.03000,8.8640e+02,0.031630,2.78,396.0,5.81,54.200000,4891.00,4.516,0.1600,0.8050,0.7760
9094,10468885,K02589.01,Kepler-1284 b,CONFIRMED,0.664074145,0.5250,1.09250,2.1260e+02,0.013695,1.19,1703.0,1998.48,4.090000,5178.00,4.585,0.1600,0.7970,0.8960
9095,8120608,K00571.04,Kepler-186 e,CONFIRMED,22.407778330,0.1470,3.28810,6.6130e+02,0.023714,1.15,319.0,2.44,52.750000,3751.00,4.800,-0.3400,0.4430,0.4520
9133,9963524,K00720.04,Kepler-221 b,CONFIRMED,2.795900040,0.6380,2.05600,3.8370e+02,0.018787,1.66,1090.0,333.31,8.290000,5244.00,4.538,-0.0400,0.8100,0.8260
9172,6716545,K02906.01,Kepler-1383 b,CONFIRMED,13.909354400,0.1320,6.76500,8.6800e+01,0.008521,1.33,928.0,175.14,15.715000,6052.00,4.183,0.0800,1.4240,1.1280
9175,5364071,K00248.01,Kepler-49 b,CONFIRMED,7.203855862,0.0370,2.54180,1.7659e+03,0.038237,2.25,509.0,15.87,22.473000,3834.00,4.708,-0.0200,0.5390,0.5410
9176,11250587,K00107.01,Kepler-464 b,CONFIRMED,7.256962446,0.6760,4.94020,4.6320e+02,0.020856,3.53,1163.0,432.10,8.620000,5858.00,4.112,0.2200,1.5490,1.1330
9217,5511081,K01930.03,Kepler-338 d,CONFIRMED,44.430405900,0.0250,10.30600,2.3850e+02,0.014103,2.61,680.0,50.42,33.390000,5951.00,4.017,-0.0800,1.6930,1.0860
